,source,target,edge,text
154,R9,R9.1,Planung,
0,R10,,Pruefung,
3,R10.3,,Pruefung- Rotor,
4,R10.4,,Pruefung- Ergebnis,
5,R10.5,,Pruefung - Wiederholungen,
6,R10.6,,Toleranzen,
7,R10.7,,Kalibrierungs-Instandhaltung,
8,R10.8,,Pruefung - Protokoll,
9,R11.1,,Ausfallrate,
10,R11.2,,Saeuberung Laufrolle,
11,R13.1,,Blendfrei,
12,R13.2,,Schutzhaube,
13,R14.1,,Bedienpanel,
14,R14.2,,Position Bedienpanel,
15,R14.3,,Temperaturanzeige,
16,R14.4,,Netzwerkzugriff,
17,R14.5,,USB,
18,R14.6,,Prozessdaten,
20,R1.1,,Bauteilart,
22,R1.3,,Bauteilgewicht,
24,R1.6,,Maschinenkomponenten,
25,R1.7,,Bauteilgewicht_Lagerstaender,
27,R1.8.1,,Einlagerungswinkel,
28,R1.9,,Sperrzonen,
30,R2.1,,Ruestzeit,
31,R2.2,,Ruestwerkzeug,
32,R2.3,,Beladen,
33,R2.4,,Anleitung,
34,R2.5,,Belastungshaeufigkeit,
35,R2.6,,Montage,
36,R2.7,,Inbetriebnahme,
37,R2.8,,Schulung_Montage,
38,R2.9,,Schulung,
39,R2.10,,Ergonomie,
41,R3.1,,Farbe Maschine,
42,R3.2,,Farbe Schutzhaube,
43,R4,,Elektrik_Elektronik,
44,R4.1,,Antriebsleistung,
46,R4.2.1,,Spannung,
47,R4.2.2,,Frequenz,
48,R4.3,,Vorsicherung,
50,R5.1,,Meisterrotor,
51,R5.2,,Toleranz,
53,R5.4,,Meisterrotor Art,
54,R5.5,,Meisterrotor Gewicht,
58,R6.1,,Auswuchtdrehzahlbereich >100,
59,R6.2,,Auswuchtdrehzahlbereich <100,
60,R6.3,,KER,
61,R6.4,,Kalibrierung,
62,R6.5,,URV max,
72,R6.7.2,,Befestigung R1,
76,R6.8,R6.8.1,Lagereinsatz Spezifikation R2,
77,R6.8.1,,Traverse R2,
78,R6.8.2,,Befestigung R2,
80,R6.9,R6.9.1,Lagereinsatz Spezifikation P,
82,R6.9.2,,Befestigung P,
83,R6.9.3,,Auflageleiste P,
85,R7.1,,Berechnung allg.,
86,R7.2,,Berechnung Positionen,
87,R7.3,,Berechnung Massen,
88,R7.4,,Ergebnisprotokoll,
90,R8.1,,Laenge Maschinenbett,
91,R8.2,,max. Rotordurchmesser MB,
92,R8.3,,max. Rotordurchmesser BA,
93,R8.4,,max. Lagerabstand,
94,R8.5,,min. Lagerabstand BA,
95,R8.6,,Hauptabmessungen,
96,R8.7,,Gewicht,
97,R8.8,,Einlagerungswinkel,
98,R8.9,,Rollenabstand,
100,R9.1,,Layout,
101,R9.2,,Schilder,
102,R9.3,,Plaene,
105,R12.1,,Taktzeit,
105,P1.3,P1.3.1,,
114,P1.3,P1.3.20,,
