Source,Targets,Type,Id,Label,timeset,Weight,edge,text
R1.3,F1.3,Directed,3,,,1,,
R1.3,F1.4,Directed,4,,,1,,
R1.4,F1.3,Directed,5,,,1,,
R4.1,F1.7,Directed,26,,,1,,
R4.1,F1.7.1,Directed,27,,,1,,
R5.1,F1.3.2,Directed,33,,,1,,
R5.5,F1.3.2,Directed,37,,,1,,
R6.1,F1.7.2,Directed,40,,,1,,
R6.2,F1.7.2,Directed,41,,,1,,
R6.3,F1.3.2,Directed,42,,,1,,
R6.6.1,F1.4,Directed,46,,,1,,
R6.6.2,F1.4,Directed,47,,,1,,
R6.6.3,F1.4,Directed,48,,,1,,
R6.7.1,F1.1.1,Directed,50,,,1,,
R6.7.1,F1.1.5,Directed,51,,,1,,
R6.7.2,F1.5,Directed,52,,,1,,
R6.7.2,F1.6,Directed,53,,,1,,
R6.7.3,F1.4,Directed,54,,,1,,
R6.7.3,F1.1.6,Directed,55,,,1,,
R6.7.3,F1.1.1.1,Directed,56,,,1,,
R6.8.1,F1.1.1,Directed,58,,,1,,
R6.8.1,F1.1.5,Directed,59,,,1,,
R6.8.2,F1.5,Directed,60,,,1,,
R6.8.2,F1.6,Directed,61,,,1,,
R6.8.3,F1.4,Directed,62,,,1,,
R6.8.3,F1.1.6,Directed,63,,,1,,
R6.8.3,F1.1.1.1,Directed,64,,,1,,
R6.9.1,F1.1.5,Directed,66,,,1,,
R6.9.2,F1.5,Directed,67,,,1,,
R6.9.2,F1.6,Directed,68,,,1,,
R6.9.2,F1.1.1,Directed,69,,,1,,
R6.9.3,F1.4,Directed,70,,,1,,
R6.9.3,F1.1.6,Directed,71,,,1,,
R6.9.3,F1.1.1.1,Directed,72,,,1,,
R11.2,F1.2,Directed,103,,,1,,
R10,R10.1,Directed,116,,,1,Pruefung,
R10,R10.2,Directed,117,,,1,Pruefung,
R10,R10.3,Directed,118,,,1,Pruefung,
R10,R10.4,Directed,119,,,1,Pruefung,
R10,R10.5,Directed,120,,,1,Pruefung,
R10,R10.6,Directed,121,,,1,Pruefung,
R10,R10.7,Directed,122,,,1,Pruefung,
R10,R10.8,Directed,123,,,1,Pruefung,
R1,R1.1,Directed,125,,,1,Bauteilspektrum,
R1,R1.2,Directed,126,,,1,Bauteilspektrum,
R1,R1.3,Directed,127,,,1,Bauteilspektrum,
R1,R1.4,Directed,128,,,1,Bauteilspektrum,
R1,R1.6,Directed,129,,,1,Bauteilspektrum,
R1,R1.7,Directed,130,,,1,Bauteilspektrum,
R1,R1.8,Directed,131,,,1,Bauteilspektrum,
R1,R1.9,Directed,132,,,1,Bauteilspektrum,
R1.8,R1.8.1,Directed,135,,,1,Herzsche Pressung,
R2,R2.1,Directed,136,,,1,Bedienung,
R2,R2.2,Directed,137,,,1,Bedienung,
R2,R2.3,Directed,138,,,1,Bedienung,
R2,R2.4,Directed,139,,,1,Bedienung,
R2,R2.5,Directed,140,,,1,Bedienung,
R2,R2.6,Directed,141,,,1,Bedienung,
R2,R2.7,Directed,142,,,1,Bedienung,
R2,R2.8,Directed,143,,,1,Bedienung,
R2,R2.9,Directed,144,,,1,Bedienung,
R2,R2.10,Directed,145,,,1,Bedienung,
R3,R3.1,Directed,146,,,1,Design,
R3,R3.2,Directed,147,,,1,Design,
R4,R4.1,Directed,148,,,1,Elektrik_Elektronik,
R4,R4.2,Directed,149,,,1,Elektrik_Elektronik,
R4,R4.3,Directed,150,,,1,Elektrik_Elektronik,
R4.2,R4.2.1,Directed,152,,,1,Strom,
R4.2,R4.2.2,Directed,153,,,1,Strom,
R5,R5.1,Directed,154,,,1,Fertigung,
R5,R5.2,Directed,155,,,1,Fertigung,
R5,R5.3,Directed,156,,,1,Fertigung,
R5,R5.4,Directed,157,,,1,Fertigung,
R5,R5.5,Directed,158,,,1,Fertigung,
R5,R5.6,Directed,159,,,1,Fertigung,
R6,R6.1,Directed,162,,,1,Mechanik,
R6,R6.2,Directed,163,,,1,Mechanik,
R6,R6.3,Directed,164,,,1,Mechanik,
R6,R6.4,Directed,165,,,1,Mechanik,
R6,R6.5,Directed,166,,,1,Mechanik,
R6,R6.6,Directed,167,,,1,Mechanik,
R6,R6.7,Directed,168,,,1,Mechanik,
R6,R6.8,Directed,169,,,1,Mechanik,
R6,R6.9,Directed,170,,,1,Mechanik,
R6.6,R6.6.1,Directed,174,,,1,Lagereinsaetze,
R6.6,R6.6.2,Directed,175,,,1,Lagereinsaetze,
R6.6,R6.6.3,Directed,176,,,1,Lagereinsaetze,
R6.7,R6.7.1,Directed,180,,,1,Lagereinsatz Spezifikation R1,
R6.7,R6.7.2,Directed,181,,,1,Lagereinsatz Spezifikation R1,
R6.7,R6.7.3,Directed,182,,,1,Lagereinsatz Spezifikation R1,
R6.8,R6.8.1,Directed,186,,,1,Lagereinsatz Spezifikation R2,
R6.8,R6.8.2,Directed,187,,,1,Lagereinsatz Spezifikation R2,
R6.8,R6.8.3,Directed,188,,,1,Lagereinsatz Spezifikation R2,
R6.9,R6.9.1,Directed,192,,,1,Lagereinsatz Spezifikation P,
R6.9,R6.9.2,Directed,193,,,1,Lagereinsatz Spezifikation P,
R6.9,R6.9.3,Directed,194,,,1,Lagereinsatz Spezifikation P,
R7,R7.1,Directed,198,,,1,Signal,
R7,R7.2,Directed,199,,,1,Signal,
R7,R7.3,Directed,200,,,1,Signal,
R7,R7.4,Directed,201,,,1,Signal,
R8,R8.1,Directed,202,,,1,Geometrie,
R8,R8.2,Directed,203,,,1,Geometrie,
R8,R8.3,Directed,204,,,1,Geometrie,
R8,R8.4,Directed,205,,,1,Geometrie,
R8,R8.5,Directed,206,,,1,Geometrie,
R8,R8.6,Directed,207,,,1,Geometrie,
R8,R8.7,Directed,208,,,1,Geometrie,
R8,R8.8,Directed,209,,,1,Geometrie,
R8,R8.9,Directed,210,,,1,Geometrie,
R9,R9.1,Directed,211,,,1,Planung,
R9,R9.3,Directed,212,,,1,Planung,
R11,R11.1,Directed,213,,,1,Qualitaet,
