source;target
R1;
R1.1;
R1.2;
R1.3;F1.3
R1.3;F1.4
R1.4;F1.3
R1.6;
R1.7;
R1.8;
R1.8.1;
R1.9;
R2;
R2.1;
R2.2;
R2.3;
R2.4;
R2.5;
R2.6;
R2.7;
R2.8;
R2.9;
R2.10;
R3;
R3.1;
R3.2;
R4;
R4.1;F1.7
R4.1;F1.7.1
R4.2;
R4.2.1;
R4.2.2;
R4.3;
R5;
R5.1;F1.3.2
R5.2;
R5.3;
R5.4;
R5.5;F1.3.2
R5.6;
R6;
R6.1;F1.7.2
R6.2;F1.7.2
R6.3;F1.3.2
R6.4;
R6.5;
R6.6;
R6.6.1;F1.4
R6.6.2;F1.4
R6.6.3;F1.4
R6.7;
R6.7.1;F1.1.1
R6.7.1;F1.1.5
R6.7.2;F1.5
R6.7.2;F1.6
R6.7.3;F1.4
R6.7.3;F1.1.6
R6.7.3;F1.1.1.1
R6.8;
R6.8.1;F1.1.1
R6.8.1;F1.1.5
R6.8.2;F1.5
R6.8.2;F1.6
R6.8.3;F1.4
R6.8.3;F1.1.6
R6.8.3;F1.1.1.1
R6.9;
R6.9.1;F1.1.5
R6.9.2;F1.5
R6.9.2;F1.6
R6.9.2;F1.1.1
R6.9.3;F1.4
R6.9.3;F1.1.6
R6.9.3;F1.1.1.1
R7;
R7.1;
R7.2;
R7.3;
R7.4;
R8;
R8.1;
R8.2;
R8.3;
R8.4;
R8.5;
R8.6;
R8.7;
R8.8;
R8.9;
R9;
R9.1;
R9.2;
R9.3;
R10;
R10.1;
R10.2;
R10.3;
R10.4;
R10.5;
R10.6;
R10.7;
R10.8;
R11;
R11.1;
R11.2;F1.2
R12;
R12.1;
R13;
R13.1;
R13.2;
R14;
R14.1;
R14.2;
R14.3;
R14.4;
R14.5;
R14.6;
