source;edge;target
L1;Auswuchtmaschine;L1.1
L1;Auswuchtmaschine;L1.2
L1;Auswuchtmaschine;L1.3
L1;Auswuchtmaschine;L1.4
L1;Auswuchtmaschine;L1.5
L1;Auswuchtmaschine;L1.6
L1;Auswuchtmaschine;L1.7
L1;Auswuchtmaschine;L1.8
L1;Auswuchtmaschine;L1.9
L1;Auswuchtmaschine;L1.10
L1;Auswuchtmaschine;L1.11
L1;Auswuchtmaschine;L1.12
L1.1;Gegenlager;
L1.2;Lagerstaender;
L1.3;Maschinentisch;
L1.4;Monitoranbau;
L1.5;Nullsonde;
L1.6;Prismenlagereinsatz;
L1.7;Rollenlagereinsatz;
L1.8;Rollenlagertraeger;
L1.9;Schutzeinhausung;
L1.10;Sicherheitsbuegel;
L1.11;Testrotor;
L1.12;Umschlingungsantrieb;
