,source,target,edge,text
0,R1,,,
1,R1.1,,,
2,R1.2,,,
3,R1.3,F1.3,,
4,R1.3,F1.4,,
5,R1.4,F1.3,,
6,R1.6,,,
7,R1.7,,,
8,R1.8,,,
9,R1.8.1,,,
10,R1.9,,,
11,R2,,,
12,R2.1,,,
13,R2.2,,,
14,R2.3,,,
15,R2.4,,,
16,R2.5,,,
17,R2.6,,,
18,R2.7,,,
19,R2.8,,,
20,R2.9,,,
21,R2.10,,,
22,R3,,,
23,R3.1,,,
24,R3.2,,,
25,R4,,,
26,R4.1,F1.7,,
27,R4.1,F1.7.1,,
28,R4.2,,,
29,R4.2.1,,,
30,R4.2.2,,,
31,R4.3,,,
32,R5,,,
33,R5.1,F1.3.2,,
34,R5.2,,,
35,R5.3,,,
36,R5.4,,,
37,R5.5,F1.3.2,,
38,R5.6,,,
39,R6,,,
40,R6.1,F1.7.2,,
41,R6.2,F1.7.2,,
42,R6.3,F1.3.2,,
43,R6.4,,,
44,R6.5,,,
45,R6.6,,,
46,R6.6.1,F1.4,,
47,R6.6.2,F1.4,,
48,R6.6.3,F1.4,,
49,R6.7,,,
50,R6.7.1,F1.1.1,,
51,R6.7.1,F1.1.5,,
52,R6.7.2,F1.5,,
53,R6.7.2,F1.6,,
54,R6.7.3,F1.4,,
55,R6.7.3,F1.1.6,,
56,R6.7.3,F1.1.1.1,,
57,R6.8,,,
58,R6.8.1,F1.1.1,,
59,R6.8.1,F1.1.5,,
60,R6.8.2,F1.5,,
61,R6.8.2,F1.6,,
62,R6.8.3,F1.4,,
63,R6.8.3,F1.1.6,,
64,R6.8.3,F1.1.1.1,,
65,R6.9,,,
66,R6.9.1,F1.1.5,,
67,R6.9.2,F1.5,,
68,R6.9.2,F1.6,,
69,R6.9.2,F1.1.1,,
70,R6.9.3,F1.4,,
71,R6.9.3,F1.1.6,,
72,R6.9.3,F1.1.1.1,,
73,R7,,,
74,R7.1,,,
75,R7.2,,,
76,R7.3,,,
77,R7.4,,,
78,R8,,,
79,R8.1,,,
80,R8.2,,,
81,R8.3,,,
82,R8.4,,,
83,R8.5,,,
84,R8.6,,,
85,R8.7,,,
86,R8.8,,,
87,R8.9,,,
88,R9,,,
89,R9.1,,,
90,R9.2,,,
91,R9.3,,,
92,R10,,,
93,R10.1,,,
94,R10.2,,,
95,R10.3,,,
96,R10.4,,,
97,R10.5,,,
98,R10.6,,,
99,R10.7,,,
100,R10.8,,,
101,R11,,,
102,R11.1,,,
103,R11.2,F1.2,,
104,R12,,,
105,R12.1,,,
106,R13,,,
107,R13.1,,,
108,R13.2,,,
109,R14,,,
110,R14.1,,,
111,R14.2,,,
112,R14.3,,,
113,R14.4,,,
114,R14.5,,,
115,R14.6,,,
116,R10,R10.1,Pruefung,
117,R10,R10.2,Pruefung,
118,R10,R10.3,Pruefung,
119,R10,R10.4,Pruefung,
120,R10,R10.5,Pruefung,
121,R10,R10.6,Pruefung,
122,R10,R10.7,Pruefung,
123,R10,R10.8,Pruefung,
124,R11.2,,Saeuberung Laufrolle,
125,R1,R1.1,Bauteilspektrum,
126,R1,R1.2,Bauteilspektrum,
127,R1,R1.3,Bauteilspektrum,
128,R1,R1.4,Bauteilspektrum,
129,R1,R1.6,Bauteilspektrum,
130,R1,R1.7,Bauteilspektrum,
131,R1,R1.8,Bauteilspektrum,
132,R1,R1.9,Bauteilspektrum,
133,R1.3,,Bauteilgewicht,
134,R1.4,,Bauteilgroe�e,
135,R1.8,R1.8.1,Herzsche Pressung,
136,R2,R2.1,Bedienung,
137,R2,R2.2,Bedienung,
138,R2,R2.3,Bedienung,
139,R2,R2.4,Bedienung,
140,R2,R2.5,Bedienung,
141,R2,R2.6,Bedienung,
142,R2,R2.7,Bedienung,
143,R2,R2.8,Bedienung,
144,R2,R2.9,Bedienung,
145,R2,R2.10,Bedienung,
146,R3,R3.1,Design,
147,R3,R3.2,Design,
148,R4,R4.1,Elektrik_Elektronik,
149,R4,R4.2,Elektrik_Elektronik,
150,R4,R4.3,Elektrik_Elektronik,
151,R4.1,,Antriebsleistung,
152,R4.2,R4.2.1,Strom,
153,R4.2,R4.2.2,Strom,
154,R5,R5.1,Fertigung,
155,R5,R5.2,Fertigung,
156,R5,R5.3,Fertigung,
157,R5,R5.4,Fertigung,
158,R5,R5.5,Fertigung,
159,R5,R5.6,Fertigung,
160,R5.1,,Meisterrotor,
161,R5.5,,Meisterrotor Gewicht,
162,R6,R6.1,Mechanik,
163,R6,R6.2,Mechanik,
164,R6,R6.3,Mechanik,
165,R6,R6.4,Mechanik,
166,R6,R6.5,Mechanik,
167,R6,R6.6,Mechanik,
168,R6,R6.7,Mechanik,
169,R6,R6.8,Mechanik,
170,R6,R6.9,Mechanik,
171,R6.1,,Auswuchtdrehzahlbereich >100,
172,R6.2,,Auswuchtdrehzahlbereich <100,
173,R6.3,,KER,
174,R6.6,R6.6.1,Lagereinsaetze,
175,R6.6,R6.6.2,Lagereinsaetze,
176,R6.6,R6.6.3,Lagereinsaetze,
177,R6.6.1,,Rollenlager 1,
178,R6.6.2,,Rollenlager 2,
179,R6.6.3,,Prismenlager,
180,R6.7,R6.7.1,Lagereinsatz Spezifikation R1,
181,R6.7,R6.7.2,Lagereinsatz Spezifikation R1,
182,R6.7,R6.7.3,Lagereinsatz Spezifikation R1,
183,R6.7.1,,Traverse R1,
184,R6.7.2,,Befestigung R1,
185,R6.7.3,,Laufrollen R1,
186,R6.8,R6.8.1,Lagereinsatz Spezifikation R2,
187,R6.8,R6.8.2,Lagereinsatz Spezifikation R2,
188,R6.8,R6.8.3,Lagereinsatz Spezifikation R2,
189,R6.8.1,,Traverse R2,
190,R6.8.2,,Befestigung R2,
191,R6.8.3,,Laufrollen R2,
192,R6.9,R6.9.1,Lagereinsatz Spezifikation P,
193,R6.9,R6.9.2,Lagereinsatz Spezifikation P,
194,R6.9,R6.9.3,Lagereinsatz Spezifikation P,
195,R6.9.1,,Traverse P,
196,R6.9.2,,Befestigung P,
197,R6.9.3,,Auflageleiste P,
198,R7,R7.1,Signal,
199,R7,R7.2,Signal,
200,R7,R7.3,Signal,
201,R7,R7.4,Signal,
202,R8,R8.1,Geometrie,
203,R8,R8.2,Geometrie,
204,R8,R8.3,Geometrie,
205,R8,R8.4,Geometrie,
206,R8,R8.5,Geometrie,
207,R8,R8.6,Geometrie,
208,R8,R8.7,Geometrie,
209,R8,R8.8,Geometrie,
210,R8,R8.9,Geometrie,
211,R9,R9.1,Planung,
212,R9,R9.3,Planung,
213,R11,R11.1,Qualitaet,
214,R11,R11.2,Qualitaet,
215,R12,R12.1,Regelung,
216,R13,R13.1,Sicherheit,
217,R13,R13.2,Sicherheit,
218,R14,R14.1,Schnittstellen,
219,R14,R14.2,Schnittstellen,
220,R14,R14.3,Schnittstellen,
221,R14,R14.4,Schnittstellen,
222,R14,R14.5,Schnittstellen,
223,R14,R14.6,Schnittstellen,
224,R10.3,R1.3,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
225,R10.3,R5.4,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
226,R10.3,R5.1,Pruefung- Rotor,Als Pruefrotor soll der Hofmann Einstellrotor dienen.
227,R2.1,R2.2,Ruestzeit,Die Ruestzeit soll maximal 5 Minuten betragen.
228,R3.2,13.2,Farbe Schutzhaube,Die Farbe der Schutzhaube soll RAL 7022 (Umbragrau) sein.
229,R5.3,R10.3,Zertifikat Meisterrotor,Es wird ein Zertifikat f�r den Meisterrotor geliefert.
230,R5.3,R5.4,Zertifikat Meisterrotor,Es wird ein Zertifikat f�r den Meisterrotor geliefert.
231,R5.4,R5.1,Meisterrotor Art,Der Meisterrotor ist ein vereinfachter Einstellrotor in Ausf�hrung nach DIN ISO 21940-21.
232,R5.5,R5.4,Meisterrotor Gewicht,Der Meisterrotor soll 5 kg wiegen.
233,R5.5,R10.3,Meisterrotor Gewicht,Der Meisterrotor soll 5 kg wiegen.
234,R10.1,R10.3,Standardpruefverfahren,
235,R10.2,R5.1,Pruefung- Gewicht,
236,R1.2,R1.6,Bauteilmaterial,
237,R1.4,R6.6.2,Bauteilgroee,
238,R5.3,R5.1,Zertifikat Meisterrotor,
239,R5.6,R5.4,Meisterrotor Ebenen,
240,R5.6,R5.1,Meisterrotor Ebenen,
241,R6.6.1,R6.7.1,Rollenlager 1,
242,R6.6.1,R6.7,Rollenlager 1,
243,R6.6.2,R6.8.3,Rollenlager 2,
244,R6.6.2,R6.8,Rollenlager 2,
245,R6.6.3,R6.9.1,Prismenlager,
246,R6.6.3,R6.9,Prismenlager,
247,R6.7.1,R6.7.3,Traverse R1,
248,R6.7.3,R6.7.1,Laufrollen R1,
249,R6.7.3,R6.6.1,Laufrollen R1,
250,R6.7.3,R6.7,Laufrollen R1,
251,R6.8.3,R6.8.1,Laufrollen R2,
252,R6.9.1,R6.6.3,Traverse P,
253,F1,F1.2,,
254,F1,F1.3,,
255,F1,F1.4,,
256,F1,F1.5,,
257,F1,F1.6,,
258,F1,F1.1,,
259,F1,F1.7,,
260,F1.1,F1.1.1,,
261,F1.1,F1.1.2,,
262,F1.1,F1.1.4,,
263,F1.1,F1.1.5,,
264,F1.1,F1.1.6,,
265,F1.1.1,F1.1.1.1,,
266,F1.1.1,F1.1.1.2,,
267,F1.1.1.1,,,
268,F1.1.1.2,,,
269,F1.1.2,F1.1.2.1,,
270,F1.1.2.1,,,
271,F1.1.4,,,
272,F1.1.5,,,
273,F1.1.6,,,
274,F1.2,,,
275,F1.3,F1.3.1,,
276,F1.3,F1.3.2,,
277,F1.3.1,,,
278,F1.3.2,F1.3.2.1,,
279,F1.3.2.1,,,
280,F1.4,,,
281,F1.5,,,
282,F1.6,,,
283,F1.7,F1.7.1,,
284,F1.7,F1.7.2,,
285,F1.7.1,,,
286,F1.7.2,,,
287,F1,L1.11,,
288,F1.1,L1.11,,
289,F1.1.1,L1.7,,
290,F1.1.1.1,L1.7,,
291,F1.1.1.2,L1.11,,
292,F1.1.2,L1.7,,
293,F1.1.2.1,L1.7,,
294,F1.1.4,L1.12,,
295,F1.1.5,L1.8,,
296,F1.1.6,L1.7,,
297,F1.2,L1.7,,
298,F1.3,L1.7,,
299,F1.3.1,L1.11,,
300,F1.3.2,L1.11,,
301,F1.3.2.1,L1.7,,
302,F1.4,L1.12,,
303,F1.5,L1.2,,
304,F1.6,L1.2,,
305,F1.7,L1.12,,
306,F1.7.1,L1.12,,
307,F1.7.2,L1.12,,
308,L1,P1,,
309,L1.1,P1.1,,
310,L1.2,P1.2,,
311,L1.3,P1.3,,
312,L1.4,P1.4,,
313,L1.5,P1.5,,
314,L1.6,P1.6,,
315,L1.7,P1.7,,
316,L1.8,P1.8,,
317,L1.9,P1.9,,
318,L1.10,P1.10,,
319,L1.11,P1.11,,
320,L1.12,P1.12,,
321,L1,L1.1,Auswuchtmaschine,
322,L1,L1.2,Auswuchtmaschine,
323,L1,L1.3,Auswuchtmaschine,
324,L1,L1.4,Auswuchtmaschine,
325,L1,L1.5,Auswuchtmaschine,
326,L1,L1.6,Auswuchtmaschine,
327,L1,L1.7,Auswuchtmaschine,
328,L1,L1.8,Auswuchtmaschine,
329,L1,L1.9,Auswuchtmaschine,
330,L1,L1.10,Auswuchtmaschine,
331,L1,L1.11,Auswuchtmaschine,
332,L1,L1.12,Auswuchtmaschine,
333,L1.1,,Gegenlager,
334,L1.2,,Lagerstaender,
335,L1.3,,Maschinentisch,
336,L1.4,,Monitoranbau,
337,L1.5,,Nullsonde,
338,L1.6,,Prismenlagereinsatz,
339,L1.7,,Rollenlagereinsatz,
340,L1.8,,Rollenlagertraeger,
341,L1.9,,Schutzeinhausung,
342,L1.10,,Sicherheitsbuegel,
343,L1.11,,Testrotor,
344,L1.12,,Umschlingungsantrieb,
345,P1.8.1,,,
346,P1.3.1,,,
347,P1.1.4.1,,,
348,P1.7.1,,,
349,P1.6.1,,,
350,P1.4.1,,,
351,P1.12.3,,,
352,P1.12.4,,,
353,P1.7.2,,,
354,P1.6.2,,,
355,P1.6.3,,,
356,P1.1,P1.1.1,,
357,P1.1,P1.1.2,,
358,P1.1,P1.1.3,,
359,P1.1,P1.1.4,,
360,P1.1.4,P1.1.4.1,,
361,P1.1.4,P1.1.4.2,,
362,P1.1.4,P1.1.4.3,,
363,P1.1.4,P1.1.4.4,,
364,P1.1.4,P1.1.4.5,,
365,P1.1.4,P1.1.4.6,,
366,P1.1.4,P1.1.4.7,,
367,P1.7.3,,,
368,P1.1.4.2,,,
369,P1.7.4,,,
370,P1.3.2,,,
371,P1.3.3,,,
372,P1.2.1,,,
373,P1.8.2,,,
374,P1.10.1,,,
375,P1.12.5,,,
376,P1.2.12.1,,,
377,P1.2.2,,,
378,P1.2.12.2,,,
379,P1.12.6,,,
380,P1.5.1,,,
381,P1.8.3,,,
382,P1.12.7,,,
383,P1.2.3,,,
384,P1.2.12.3,,,
385,P1.10.2,,,
386,P1.10.3,,,
387,P1.1.1,,,
388,P1.12.1.1,,,
389,P1.12.8,,,
390,P1.8.4,,,
391,P1.1.4.3,,,
392,P1.3.4,,,
393,P1.12.9,,,
394,P1.3.5,,,
395,P1.2.4,,,
396,P1.12.10,,,
397,P1.12.1.2,,,
398,P1.12.11,,,
399,P1.5.2,,,
400,P1.2.5,,,
401,P1.10.4,,,
402,P1.12.12,,,
403,P1.12.13,,,
404,P1.12.14,,,
405,P1.10.5,,,
406,P1.3.6,,,
407,P1.2.12.4,,,
408,P1.3.7,,,
409,P1.3.8,,,
410,P1.12.2,P1.12.1.1,,
411,P1.12.2,P1.12.1.2,,
412,P1.12.2,P1.12.1.3,,
413,P1.10.6,,,
414,P1.7.5,,,
415,P1.6.4,,,
416,P1.7.6,,,
417,P1.6.5,,,
418,P1.2.12.5,,,
419,P1.1.2,,,
420,P1.2.12.6,,,
421,P1.7.7,,,
422,P1.2,P1.2.10,,
423,P1.2,P1.2.9,,
424,P1.2,P1.2.8,,
425,P1.2,P1.2.7,,
426,P1.2,P1.2.5,,
427,P1.2,P1.2.4,,
428,P1.2,P1.2.3,,
429,P1.2,P1.2.2,,
430,P1.2,P1.2.1,,
431,P1.2,P1.12.20,,
432,P1.5.3,,,
433,P1.7.8,P1.7.3,,
434,P1.7.8,P1.7.4,,
435,P1.7.8,P1.7.7,,
436,P1.7.8,P1.7.9,,
437,P1.7.8,P1.7.12,,
438,P1.12.2.1,,,
439,P1.2.12.7,,,
440,P1.3,P1.3.15,,
441,P1.3,P1.3.1,,
442,P1.3,P1.3.2,,
443,P1.3,P1.3.3,,
444,P1.3,P1.3.4,,
445,P1.3,P1.3.5,,
446,P1.3,P1.3.6,,
447,P1.3,P1.3.7,,
448,P1.3,P1.3.8,,
449,P1.3,P1.3.11,,
450,P1.3,P1.3.12,,
451,P1.3,P1.3.13,,
452,P1.3,P1.3.16,,
453,P1.3,P1.3.14,,
454,P1.3,P1.3.17,,
455,P1.3,P1.3.18,,
456,P1.3,P1.3.19,,
457,P1.3,P1.3.20,,
458,P1.3.9,,,
459,P1.3.10,,,
460,P1.4,P1.4.3,,
461,P1.4,P1.4.2,,
462,P1.4,P1.4.1,,
463,P1.4.2,,,
464,P1.3.11,,,
465,P1.12.15,,,
466,P1.12.16,,,
467,P1.12.17,,,
468,P1.12.18,,,
469,P1.10.7,,,
470,P1.12.19,,,
471,P1.1.4.4,,,
472,P1.7.9,,,
473,P1.5,P1.5.1,,
474,P1.5,P1.5.2,,
475,P1.5,P1.5.3,,
476,P1.5,P1.5.4,,
477,P1.10.8,,,
478,P1.12.1.3,,,
479,P1.2.12,P1.2.12.1,,
480,P1.2.12,P1.2.12.2,,
481,P1.2.12,P1.2.12.3,,
482,P1.2.12,P1.2.12.4,,
483,P1.2.12,P1.2.12.5,,
484,P1.2.12,P1.2.12.6,,
485,P1.2.12,P1.2.12.7,,
486,P1.2.12,P1.2.12.8,,
487,P1.6,P1.6.1,,
488,P1.6,P1.6.2,,
489,P1.6,P1.6.3,,
490,P1.6,P1.6.4,,
491,P1.6,P1.6.6,,
492,P1.6,P1.6.5,,
493,P1.6,P1.6.7,,
494,P1.6,P1.6.8,,
495,P1.6,P1.6.10,,
496,P1.6,P1.6.9,,
497,P1.7.10,,,
498,P1.6.6,,,
499,P1.8.5,,,
500,P1.12.2.2,,,
501,P1.12.2.3,,,
502,P1.12.2.4,,,
503,P1.12.2.5,,,
504,P1.7,P1.7.1,,
505,P1.7,P1.7.2,,
506,P1.7,P1.7.8,,
507,P1.7,P1.7.6,,
508,P1.7,P1.7.5,,
509,P1.7,P1.7.10,,
510,P1.7,P1.7.11,,
511,P1.7,P1.7.13,,
512,P1.7,P1.7.14,,
513,P1.8,P1.8.7,,
514,P1.8,P1.8.6,,
515,P1.8,P1.8.5,,
516,P1.8,P1.8.4,,
517,P1.8,P1.8.3,,
518,P1.8,P1.8.1,,
519,P1.8,P1.8.2,,
520,P1.8,P1.8.8,,
521,P1.2.6,,,
522,P1.12.2.6,,,
523,P1.7.11,,,
524,P1.6.7,,,
525,P1.10.9,,,
526,P1.1.4.5,,,
527,P1.12.20,,,
528,P1.12.21,,,
529,P1.10.10,,,
530,P1.12.22,,,
531,P1.8.6,,,
532,P1.9.1,,,
533,P1.9,P1.9.1,,
534,P1.3.12,,,
535,P1.2.7,,,
536,P1.2.8,,,
537,P1.3.13,,,
538,P1.12.2.7,,,
539,P1.12.24,,,
540,P1.6.8,,,
541,P1.8.7,,,
542,P1.12.25,,,
543,P1.2.9,,,
544,P1.3.14,,,
545,P1.10,P1.10.1,,
546,P1.10,P1.10.2,,
547,P1.10,P1.10.3,,
548,P1.10,P1.10.4,,
549,P1.10,P1.10.5,,
550,P1.10,P1.10.6,,
551,P1.10,P1.10.7,,
552,P1.10,P1.10.8,,
553,P1.10,P1.10.9,,
554,P1.10,P1.10.11,,
555,P1.10,P1.10.13,,
556,P1.10,P1.10.12,,
557,P1.10,P1.1.5,,
558,P1.10,P1.10.14,,
559,P1.10,P1.10.10,,
560,P1.10.11,,,
561,P1.12.2.8,,,
562,P1.10.12,,,
563,P1.12.26,,,
564,P1.12.27,,,
565,P1.12.28,,,
566,P1.1.4.6,,,
567,P1.1.4.7,,,
568,P1.1.3,,,
569,P1.2.12.8,,,
570,P1.2.10,,,
571,P1.4.3,,,
572,P1.3.15,,,
573,P1.11,,,
574,P1.8.8,,,
575,P1.7.12,,,
576,P1,P1.3,,
577,P1,P1.2,,
578,P1,P1.12,,
579,P1,P1.6,,
580,P1,P1.8,,
581,P1,P1.1,,
582,P1,P1.5,,
